assemblyID	tracker_sample_name	correctSpecies	CorrectEcotype	lifeHistory	technology	source	complete	duplicated	fraged	missing	clade	subfamily	tribe	subtribe	wrongSample	lowTABASCO	CHList	QCshortread	dupSample	rhizome_PAV	pacbio	compdup
AN21TNTL0144	AN21TNTL0144	Chrysopogon schmidianus	NM Cuong 472	perennial	Illumina	PanAnd	5456	46	83	7	PACMAD	Panicoideae	Andropogoneae	Chrysopogoninae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5502
AN21TNTL0148	AN21TNTL0148	Exotheca abyssinica	Davidse 9215	perennial	Illumina	PanAnd	4653	493	442	4	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5146
AN21TNTL0151	AN21TNTL0151	Miscanthus sacchariflorus	J Solomon 1193	perennial	Illumina	PanAnd	1995	2414	1183	0	PACMAD	Panicoideae	Andropogoneae	Saccharinae	TRUE	TRUE	TRUE	TRUE	TRUE	1	FALSE	4409
AN21TNTL0153	AN21TNTL0153	Microstegium geniculatum	Hsiu-Lan Ho 920	annual	Illumina	PanAnd	2747	1635	1207	3	PACMAD	Panicoideae	Andropogoneae		TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	4382
AN21TNTL0154	AN21TNTL0154	Microstegium fasciculatum	CF van Beusekom et al 4092	perennial	Illumina	PanAnd	2516	1533	1538	5	PACMAD	Panicoideae	Andropogoneae		TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	4049
AN21TNTL0156	AN21TNTL0156	Miscanthus oligostachyus	H Koyama; Y Huzimoto 708	perennial	Illumina	PanAnd	2794	1541	1257	0	PACMAD	Panicoideae	Andropogoneae	Saccharinae	TRUE	TRUE	TRUE	TRUE	TRUE	1	FALSE	4335
AN21TNTL0157	AN21TNTL0157	Miscanthus nepalensis	Zhang; Zhi-ying 13942	perennial	Illumina	PanAnd	2431	2446	711	4	PACMAD	Panicoideae	Andropogoneae	Saccharinae	TRUE	TRUE	TRUE	TRUE	TRUE	1	FALSE	4877
AN21TNTL0161	AN21TNTL0161	Ischaemum glaucescens	Beaman 10818	perennial	Illumina	PanAnd	2188	2154	1249	1	PACMAD	Panicoideae	Andropogoneae	Ischaeminae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	4342
AN21TNTL0163	AN21TNTL0163	Ischaemum byrone	Perlman 22941	perennial	Illumina	PanAnd	1964	3332	296	0	PACMAD	Panicoideae	Andropogoneae	Ischaeminae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5296
AN21TNTL0167	AN21TNTL0167	Iseilema vaginiflorum	MRK Lambert 834	annual	Illumina	PanAnd	5320	107	158	7	PACMAD	Panicoideae	Andropogoneae	Anthistiriinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5427
AN21TNTL0169	AN20TSCR000227	Diectomis fastigiata	SLC 109		Illumina	PanAnd	5279	134	175	4	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE		FALSE	5413
AN21TNTL0171	AN20TSCR000229	Ischaemum heterotrichum	MSV 1893	perennial	Illumina	PanAnd	1716	2732	1144	0	PACMAD	Panicoideae	Andropogoneae	Ischaeminae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	4448
AN21TNTL0172	AN20TSCR000231	Diheteropogon amplectens var. catangensis	""	perennial	Illumina	PanAnd	3897	813	876	6	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE		FALSE	4710
AN21TNTL0174	AN20TSCR000233	Ischaemum polystachyum	NOP 99	perennial	Illumina	PanAnd	5361	75	152	4	PACMAD	Panicoideae	Andropogoneae	Ischaeminae	TRUE	TRUE	TRUE	TRUE	TRUE	1	FALSE	5436
AN21TNTL0175	AN20TSCR000234	Bothriochloa macra	AUB 23	perennial	Illumina	PanAnd	1765	3133	693	1	PACMAD	Panicoideae	Andropogoneae	Anthistiriinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	4898
AN21TNTL0177	AN20TSCR000209	Anatherum bicorne	AUB & Bookout 110	perennial	Illumina	PanAnd	1580	2841	1170	1	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	4421
AN21TNTL0178	AN20TSCR000210	Sorghum arundinaceum	AUB & Bookout 106	annual or perennial	Illumina	PanAnd	4614	356	622	0					TRUE	TRUE	TRUE	TRUE	TRUE		FALSE	4970
AN21TNTL0291	AN21TNTL0291	Sorghum timorense	ID Cowie, SL Dillon 9568	annual	Illumina	PanAnd	4081	236	1268	7	PACMAD	Panicoideae	Andropogoneae	Sorghinae	TRUE	TRUE	TRUE	TRUE	TRUE		FALSE	4317
AN21TNTL0292	AN21TNTL0292	Sorghastrum balansae	Hassler 8420	perennial	Illumina	PanAnd	5092	104	391	5	PACMAD	Panicoideae	Andropogoneae	Apludinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5196
AN21TNTL0293	AN21TNTL0293	Sorghum trichocladum	Breedlove, Davidse 54623	perennial	Illumina	PanAnd	4026	85	1474	7	PACMAD	Panicoideae	Andropogoneae	Sorghinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	4111
AN21TNTL0294	AN21TNTL0294	Sorghum propinquum	Davidse; Sumithraarachchi 8856	perennial	Illumina	PanAnd	5073	61	458	0	PACMAD	Panicoideae	Andropogoneae	Sorghinae	TRUE	TRUE	TRUE	TRUE	TRUE	1	FALSE	5134
AN21TNTL0296	AN21TNTL0296	Spodiopogon cotulifer	S Tsugaru; Makoto Sawada 19481	perennial	Illumina	PanAnd	2731	1740	1120	1	PACMAD	Panicoideae	Andropogoneae		TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	4471
AN21TNTL0299	AN21TNTL0299	Spodiopogon duclouxii	Wang Xi-qu 96182	perennial	Illumina	PanAnd	2061	2596	934	1	PACMAD	Panicoideae	Andropogoneae		TRUE	TRUE	TRUE	TRUE	TRUE	1	FALSE	4657
AN21TNTL0301	AN21TNTL0301	Sorghum intrans	A-2785-I (cultivated)	annual	Illumina	PanAnd	4113	446	1024	9	PACMAD	Panicoideae	Andropogoneae	Sorghinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	4559
AN21TNTL0302	AN21TNTL0302	Spodiopogon depauperatus	S Tsugaru 13450	perennial	Illumina	PanAnd	5182	165	240	5	PACMAD	Panicoideae	Andropogoneae		TRUE	TRUE	TRUE	TRUE	TRUE	1	FALSE	5347
AN21TNTL0304	AN21TNTL0304	Sorghum matarankense	ID Cowie 12798	annual	Illumina	PanAnd	3952	124	1506	10	PACMAD	Panicoideae	Andropogoneae	Sorghinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	4076
AN21TNTL0308	AN21TNTL0308	Iseilema ciliatum	PK Latz 5428	annual	Illumina	PanAnd	5308	103	174	7	PACMAD	Panicoideae	Andropogoneae	Anthistiriinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5411
AN21TNTL0309	AN21TNTL0309	Ischaemum timorense	Santamaria; Solano 3580	annual	Illumina	PanAnd	4901	255	432	4	PACMAD	Panicoideae	Andropogoneae	Ischaeminae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5156
AN21TNTL0311	AN21TNTL0311	Ischaemum amethystinum	J. Lewalle 1714	perennial	Illumina	PanAnd	3010	70	2500	12	PACMAD	Panicoideae	Andropogoneae	Ischaeminae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	3080
AN21TNTL0314	AN21TNTL0314	Iseilema fragile	SR Hirst 36	annual	Illumina	PanAnd	5317	112	152	11	PACMAD	Panicoideae	Andropogoneae	Anthistiriinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5429
AN21TNTL0316	AN21TNTL0316	Hyparrhenia rudis	Simon 2195	perennial	Illumina	PanAnd	5007	115	469	1	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE	1	FALSE	5122
AN21TNTL0318	AN21TNTL0318	Hyparrhenia pilgeriana	Rwaburindore 3886	perennial	Illumina	PanAnd	4448	488	653	3	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE	1	FALSE	4936
AN21TNTL0319	AN21TNTL0319	Hyparrhenia niariensis	Fay 5823	annual	Illumina	PanAnd	3295	1058	1235	4	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	4353
AN21TNTL0320	AN21TNTL0320	Hyparrhenia griffithii	AO Crook 2076	perennial	Illumina	PanAnd	2224	1201	2165	2	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	3425
AN21TNTL0321	AN21TNTL0321	Hyparrhenia gazensis	Rwaburindere 1121	perennial	Illumina	PanAnd	1641	2913	1035	3	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	4554
AN21TNTL0322	AN21TNTL0322	Hyparrhenia welwitschii	Fay 5851	annual	Illumina	PanAnd	3159	1077	1352	4	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	4236
AN21TNTL0324	AN21TNTL0324	Hyparrhenia subplumosa	Soladoye BO251	perennial	Illumina	PanAnd	3034	1303	1252	3	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	4337
AN21TNTL0327	AN21TNTL0327	Hyparrhenia dichroa	Kayombo 1010	perennial	Illumina	PanAnd	2947	1294	1346	5	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	4241
AN21TNTL0328	AN21TNTL0328	Hyparrhenia barteri	AB Katende K2324	annual	Illumina	PanAnd	2569	1484	1535	4	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	4053
AN21TNTL0329	AN21TNTL0329	Hyparrhenia arrhenobasis	JW Ash 2696	perennial	Illumina	PanAnd	2331	1165	2093	3	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	3496
AN21TNTL0333	AN21TNTL0333	Hemarthria sibirica	S. Tsugaru, M. Miyahara 26676	perennial	Illumina	PanAnd	5101	122	357	12	PACMAD	Panicoideae	Andropogoneae	Ratzeburgiinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5223
AN21TNTL0334	AN21TNTL0334	Hyparrhenia collina	Heady 1740	perennial	Illumina	PanAnd	3523	1223	842	4	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE	1	FALSE	4746
AN21TNTL0335	AN21TNTL0335	Hyparrhenia confinis	JJFE de Wilde 263	annual	Illumina	PanAnd	3643	1308	638	3	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	4951
AN21TNTL0336	AN21TNTL0336	Hyparrhenia cyanescens	Hall and Duodu 42178	perennial	Illumina	PanAnd	1426	3263	899	4	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE	1	FALSE	4689
AN21TNTL0339	AN21TNTL0339	Schizachyrium sulcatum	Killeen 2084	annual	Illumina	PanAnd	3212	846	1530	4	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	4058
AN21TNTL0341	AN21TNTL0341	Schizachyrium semitectum	Peterson; Garcia 20211	annual	Illumina	PanAnd	5275	175	136	6	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5450
AN21TNTL0343	AN21TNTL0343	Schizachyrium maclaudii	MSM Sosef 2717	annual	Illumina	PanAnd	875	3697	1014	6	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	4572
AN21TNTL0344	AN21TNTL0344	Schizachyrium nodulosum	Oumorou 1103	annual	Illumina	PanAnd	5358	147	82	5	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5505
AN21TNTL0345	AN21TNTL0345	Schizachyrium delavayi	Li Heng 9029	perennial	Illumina	PanAnd	4800	468	323	1	PACMAD	Panicoideae	Andropogoneae	Anthistiriinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5268
AN21TNTL0346	AN21TNTL0346	Schizachyrium platyphyllum	MSM Sosef 2718	annual or perennial	Illumina	PanAnd	4706	413	465	8	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5119
AN21TNTL0347	AN21TNTL0347	Schizachyrium pulchellum	JJFF de Wilde 11158	perennial	Illumina	PanAnd	3701	969	916	6	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	4670
AN21TNTL0348	AN21TNTL0348	Schizachyrium rupestre	CCH Jongkind 3174	perennial	Illumina	PanAnd	4410	588	588	6	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	4998
AN21TNTL0352	AN21TNTL0352	Schizachyrium crinizonatum	BM Stuckey 281	annual	Illumina	PanAnd	5322	128	134	8	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5450
AN21TNTL0353	AN21TNTL0353	Sehima ischaemoides	Bingham 479	annual	Illumina	PanAnd	5420	90	76	6	PACMAD	Panicoideae	Andropogoneae		TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5510
AN21TNTL0354	AN21TNTL0354	Rhytachne triaristata	Fay 5893	annual	Illumina	PanAnd	5377	134	69	12	PACMAD	Panicoideae	Andropogoneae	Rhytachninae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5511
AN21TNTL0355	AN21TNTL0355	Rhytachne glabra	Bidault, Diabate, Mas 266	perennial	Illumina	PanAnd	4949	280	360	3	PACMAD	Panicoideae	Andropogoneae	Rhytachninae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5229
AN21TNTL0356	AN21TNTL0356	Rhytachne gonzalezii	Ortiz, Ramia 3244	annual	Illumina	PanAnd	2132	2841	608	11	PACMAD	Panicoideae	Andropogoneae	Rhytachninae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	4973
AN21TNTL0359	AN21TNTL0359	Oxyrhachis gracillima	L Smook 6050	perennial	Illumina	PanAnd	5262	114	196	20	PACMAD	Panicoideae	Andropogoneae	Rhytachninae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5376
AN21TNTL0362	AN21TNTL0362	Saccharum baldwinii	R. Kral 64488	perennial	Illumina	PanAnd	2286	2452	854	0	PACMAD	Panicoideae	Andropogoneae	Saccharinae	TRUE	TRUE	TRUE	TRUE	TRUE	1	FALSE	4738
AN21TNTL0365	AN21TNTL0365	Phacelurus zea	CF van Beusekom 4267	perennial	Illumina	PanAnd	4789	274	527	2	PACMAD	Panicoideae	Andropogoneae	Rottboelliinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5063
AN21TNTL0366	AN21TNTL0366	Elymandra subulata	Jacques-Felix 7306	annual	Illumina	PanAnd	4407	488	695	2	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	4895
AN21TNTL0368	AN21TNTL0368	Zea perennis	Iltis 1050	perennial	Illumina	PanAnd	3663	1148	780	1	PACMAD	Panicoideae	Andropogoneae	Tripsacinae	TRUE	TRUE	TRUE	TRUE	TRUE	1	FALSE	4811
AN21TS02	AN21TSTL0002	Andropogon pseudapricus	Kew 183921	annual	Illumina	PanAnd	3021	1287	1281	3	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	4308
AN21TS04	AN21TSTL0004	Anatherum brachystachyum	AUB 123	perennial	Illumina	PanAnd	5278	142	169	3	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5420
AN21TS06	AN21TSTL0006	Bothriochloa pertusa	AUB 135	perennial	Illumina	PanAnd	2456	1937	1198	1	PACMAD	Panicoideae	Andropogoneae	Anthistiriinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	4393
AN21TS08	AN21TSTL0008	Diectomis fastigiata	Kew 246275		Illumina	PanAnd	5347	128	113	4	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE		FALSE	5475
AN21TS10	AN21TSTL0010	Hyparrhenia rufa	AUB 129	perennial	Illumina	PanAnd	2792	1184	1610	6	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE	1	FALSE	3976
AN21TS11	AN21TSTL0011	Schizachyrium rhizomatum	AUB 128	perennial	Illumina	PanAnd	1895	2709	985	3	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE	1	FALSE	4604
AN21TS12	AN21TSTL0012	Imperata cylindrica	AUB 125	perennial	Illumina	PanAnd	5312	142	136	2	PACMAD	Panicoideae	Andropogoneae	Germainiinae	TRUE	TRUE	TRUE	TRUE	TRUE	1	FALSE	5454
AN21TS14	AN21TSTL0014	Cymbopogon flexuosus	24-04537-37802	perennial	Illumina	PanAnd	4773	412	405	2	PACMAD	Panicoideae	Andropogoneae	Anthistiriinae	TRUE	TRUE	TRUE	TRUE	TRUE	1	FALSE	5185
AN21TS15	AN21TSTL0015	Saccharum alopecuroides	AUB 132	perennial	Illumina	PanAnd	1378	3225	988	1	PACMAD	Panicoideae	Andropogoneae	Saccharinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	4603
AN21TS16	AN21TSTL0016	Diheteropogon amplectens	Kew 246323	perennial	Illumina	PanAnd	4638	402	542	10	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE	1	FALSE	5040
AN21TS17	AN21TSTL0017	Anatherum ternarium	W6 54786	perennial	Illumina	PanAnd	1337	3296	957	2	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	4633
AN21TS18	AN21TSTL0018	Themeda anathera	PI 369159	perennial	Illumina	PanAnd	3661	1055	874	2	PACMAD	Panicoideae	Andropogoneae	Anthistiriinae	TRUE	TRUE	TRUE	TRUE	TRUE	1	FALSE	4716
AN21TS19	AN21TSTL0019	Sorghastrum secundum	AUB 138	perennial	Illumina	PanAnd	4961	110	515	6	PACMAD	Panicoideae	Andropogoneae	Apludinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5071
AN21TS21	AN21TSTL0021	Eremochloa zeylanica	PI 647884	perennial	Illumina	PanAnd	1118	3581	888	5	PACMAD	Panicoideae	Andropogoneae	Ratzeburgiinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	4699
AN21TS22	AN21TSTL0022	Eremochloa ophiuroides	W6 55858	perennial	Illumina	PanAnd	5247	148	189	8	PACMAD	Panicoideae	Andropogoneae	Ratzeburgiinae	TRUE	TRUE	TRUE	TRUE	TRUE	1	FALSE	5395
AN21TS23	AN21TSTL0023	Diheteropogon hagerupii	Kew 254456	annual	Illumina	PanAnd	4539	449	593	11	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	4988
AN21TS24	AN21TSTL0024	Anatherum floridanum	AUB 120	perennial	Illumina	PanAnd	5230	154	205	3	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5384
AN21TS25	AN21TSTL0025	Coix lacryma-jobi	PI 324509	annual	Illumina	PanAnd	5246	97	237	12	PACMAD	Panicoideae	Andropogoneae	Rottboelliinae	TRUE	TRUE	TRUE	TRUE	TRUE		FALSE	5343
AN21TS26	AN21TSTL0026	Saccharum robustum	PI 88670	perennial	Illumina	PanAnd	4568	374	650	0	PACMAD	Panicoideae	Andropogoneae	Saccharinae	TRUE	TRUE	TRUE	TRUE	TRUE	1	FALSE	4942
AN21TS27	AN21TSTL0027	Sorghastrum elliottii	PI 674985	perennial	Illumina	PanAnd	5160	109	317	6	PACMAD	Panicoideae	Andropogoneae	Apludinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5269
AN21TS28	AN21TSTL0028	Cymbopogon winterianus	01-04531-61419	perennial	Illumina	PanAnd	4603	473	514	2	PACMAD	Panicoideae	Andropogoneae	Anthistiriinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5076
AN21TS29	AN21TSTL0029	Sorghastrum secundum	AUB 115	perennial	Illumina	PanAnd	4826	100	660	6	PACMAD	Panicoideae	Andropogoneae	Apludinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	4926
AN21TS30	AN21TSTL0030	Arthraxon junnarensis	Kew 88886	annual	Illumina	PanAnd	5321	127	135	9	PACMAD	Panicoideae	Andropogoneae	Arthraxoninae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5448
AN21TS31	AN21TSTL0031	Apluda mutica	PI 219568	perennial	Illumina	PanAnd	3873	800	916	3	PACMAD	Panicoideae	Andropogoneae	Apludinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	4673
AN21TS32	AN21TSTL0032	Iseilema macratherum	PI 257760	annual	Illumina	PanAnd	5290	120	173	9	PACMAD	Panicoideae	Andropogoneae	Anthistiriinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5410
AN21TS33	AN21TSTL0033	Iseilema membranaceum	PI 240840	annual	Illumina	PanAnd	5301	122	162	7	PACMAD	Panicoideae	Andropogoneae	Anthistiriinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5423
AN21TS34	AN21TSTL0034	Cymbopogon nardus	21-04530-27038	perennial	Illumina	PanAnd	4788	390	411	3	PACMAD	Panicoideae	Andropogoneae	Anthistiriinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5178
AN21TS35	AN21TSTL0035	Anatherum capillipes	AUB 134		Illumina	PanAnd	5250	134	204	4	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE		FALSE	5384
AN21TS38	AN21TSTL0038	Eulalia polyneura	Pasquet 1239	perennial	Illumina	PanAnd	5081	173	334	4	PACMAD	Panicoideae	Andropogoneae	Apludinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5254
AN21TS40	AN21TSTL0040	Hyparrhenia finitima	Pasquet 1244	perennial	Illumina	PanAnd	1909	2552	1128	3	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	4461
AN21TS43	AN21TSTL0043	Rottboellia campestris	Kew 286073		Illumina	PanAnd	4994	69	522	7	PACMAD	Panicoideae	Andropogoneae	Rottboelliinae	TRUE	TRUE	TRUE	TRUE	TRUE		FALSE	5063
AN21TS49	AN21TSTL0049	Zea diploperennis	PI 441930	perennial	Illumina	PanAnd	3043	860	1688	1	PACMAD	Panicoideae	Andropogoneae	Tripsacinae	TRUE	TRUE	TRUE	TRUE	TRUE	1	FALSE	3903
AN21TS50	AN21TSTL0050	Andropogon schirensis	Pasquet s.n.	perennial	Illumina	PanAnd	5048	229	307	8	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5277
AN21TS51	AN21TSTL0051	Dimeria lawsonii	KR 81018	annual	Illumina	PanAnd	1758	2710	1120	4	PACMAD	Panicoideae	Andropogoneae	Ischaeminae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	4468
AN21TS52	AN21TSTL0052	Anatherum laterale	Welker 390	perennial	Illumina	PanAnd	1644	2297	1649	2	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	3941
AN21TS53	AN21TSTL0053	Anatherum macrothrix	Welker 351-A		Illumina	PanAnd	5224	167	197	4	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE		FALSE	5391
AN21TS54	AN21TSTL0054	Andropogon ternatus	Welker 355-A	perennial	Illumina	PanAnd	2573	2259	757	3	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	4832
AN21TS55	AN21TSTL0055	Andropogon virgatus	Welker 404	perennial	Illumina	PanAnd	5169	190	226	7	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5359
AN21TS57	AN21TSTL0057	Anatherum selloanum	Welker 356	perennial	Illumina	PanAnd	5261	167	160	4	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5428
AN21TS58	AN21TSTL0058	Bothriochloa longipaniculata	Welker 590	perennial	Illumina	PanAnd	1581	3033	976	2	PACMAD	Panicoideae	Andropogoneae	Anthistiriinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	4614
AN21TS59	AN21TSTL0059	Elionurus muticus	Welker 177	perennial	Illumina	PanAnd	3291	691	1600	10	PACMAD	Panicoideae	Andropogoneae		TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	3982
AN21TS60	AN21TSTL0060	Eriochrysis laxa	Welker 487-9	perennial	Illumina	PanAnd	5316	84	180	12	PACMAD	Panicoideae	Andropogoneae		TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5400
AN21TS61	AN21TSTL0061	Eriochrysis villosa	Welker 488-4	perennial	Illumina	PanAnd	5132	108	343	9	PACMAD	Panicoideae	Andropogoneae		TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5240
AN21TS62	AN21TSTL0062	Eriochrysis holcoides	Welker 505-A	perennial	Illumina	PanAnd	5223	83	281	5	PACMAD	Panicoideae	Andropogoneae		TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5306
AN21TS63	AN21TSTL0063	Imperata tenuis	Welker 494-2	perennial	Illumina	PanAnd	5401	91	96	4	PACMAD	Panicoideae	Andropogoneae	Germainiinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5492
AN21TS64	AN21TSTL0064	Saccharum villosum	Welker 520	perennial	Illumina	PanAnd	1920	2745	927	0	PACMAD	Panicoideae	Andropogoneae	Saccharinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	4665
AN21TS65	AN21TSTL0065	Saccharum angustifolium	Welker 345	perennial	Illumina	PanAnd	1783	2564	1245	0	PACMAD	Panicoideae	Andropogoneae	Saccharinae	TRUE	TRUE	TRUE	TRUE	TRUE	1	FALSE	4347
